Name,Architecture,Identifier,GovCloud
Ubuntu 20.04 LTS,amd64,``prod-x7h6cigkuiul6``,✓
Ubuntu 20.04 LTS,arm64,``prod-gprrntd234sfc``,✓
Minimal Ubuntu 20.04 LTS,amd64,``prod-df2jln3gjtwps``,✓
Minimal Ubuntu 20.04 LTS,arm64,``prod-emtsb6upxf6us``,✓
Ubuntu 22.04 LTS,amd64,``prod-lfutkwiaknxsk``,✓
Ubuntu 22.04 LTS,arm64,``prod-amd2rg3s3i7tc``,✓
Minimal Ubuntu 22.04 LTS,amd64,``prod-smq32swynllqw``,✓
Minimal Ubuntu 22.04 LTS,arm64,``prod-zvdejcufto6ps``,✓
Ubuntu 22.10,amd64,``prod-663ryfcvanyqi``,✓
Ubuntu 22.10,arm64,``prod-aizbragkux5k2``,✓
Minimal Ubuntu 22.10,amd64,``prod-k62pbab6qb6ws``,✓
Minimal Ubuntu 22.10,arm64,``prod-haniqpk5itina``,✓
Ubuntu 23.10,amd64,``prod-tx7uupluohrfk``,✓
Ubuntu 23.10,arm64,``prod-2ajtlwthyvpc6``,✓
Minimal Ubuntu 23.10,amd64,``prod-segy4h4e5x5zq``,✓
Minimal Ubuntu 23.10,arm64,``prod-xxfuncfabpasi``,✓
Ubuntu 24.04,amd64,``prod-ib2w5aw4ynhey``,✓
Ubuntu 24.04,arm64,``prod-uovi4c667gqya``,✓
Minimal Ubuntu 24.04,amd64,``prod-u7oazfncxktmo``,✓
Minimal Ubuntu 24.04,arm64,``prod-umggziwlkgulc``,✓
Ubuntu Pro FIPS 16.04 LTS,amd64,``prod-hykkbajyverq4``,✓
Ubuntu Pro FIPS 18.04 LTS,amd64,``prod-7izp2xqnddwdc``,✓
Ubuntu Pro FIPS 20.04 LTS,amd64,``prod-k6fgbnayirmrc``,✓
Ubuntu Pro 14.04 LTS,amd64,``prod-7u42cjnp5pcuo``,✓
Ubuntu Pro 22.04 LTS with Real-time Kernel,arm64,``prod-ezodmjvranjew``,✓
Ubuntu 20.04 LTS for EKS 1.23,amd64,``prod-d6nvbzhhqtsnc``,✓
Ubuntu 20.04 LTS for EKS 1.23,arm64,``prod-w4kdatfulcfk2``,✓
Ubuntu 20.04 LTS for EKS 1.24,amd64,``prod-q56ww7nfnmv72``,✓
Ubuntu 20.04 LTS for EKS 1.24,arm64,``prod-pikds4f276lq6``,✓
Ubuntu 20.04 LTS for EKS 1.25,amd64,``prod-h232pdamfnj5w``,✓
Ubuntu 20.04 LTS for EKS 1.25,arm64,``prod-exeixbb2fbrog``,✓
Ubuntu 20.04 LTS for EKS 1.26,amd64,``prod-paebp5ekgg6uu``,✓
Ubuntu 20.04 LTS for EKS 1.26,arm64,``prod-lrqczh7vqe7ve``,✓
Ubuntu 20.04 LTS for EKS 1.27,amd64,``prod-ldmift6l2jtbk``,✓
Ubuntu 20.04 LTS for EKS 1.27,arm64,``prod-rmbj4hjbxq3s4``,✓
Ubuntu 20.04 LTS for EKS 1.28,amd64,``prod-liwkeak7e3q7e``,✓
Ubuntu 20.04 LTS for EKS 1.28,arm64,``prod-lnp3hmtlqxkes``,✓
Ubuntu 20.04 LTS for EKS 1.29,amd64,``prod-lg73jq6vy35h2``,✓
Ubuntu 20.04 LTS for EKS 1.29,arm64,``prod-htjgvopsb6wo2``,✓
Ubuntu 22.04 LTS for EKS 1.29,amd64,``prod-lg73jq6vy35h2``,✓
Ubuntu 22.04 LTS for EKS 1.29,arm64,``prod-htjgvopsb6wo2``,✓
